UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Chani,@ChaniKrinsky,2020-08-13T14:21:44.000Z,"Does anyone else in their 20s know what they're doing? 

Asking for a friend.","Does anyone else in their 20s know what they're doing? 

Asking for a friend.",,49,20,178,[],https://twitter.com/ChaniKrinsky/status/1293915646334402568
Chani,@ChaniKrinsky,2020-08-31T22:03:28.000Z,"Marketing hack: 

Even if you're not buying plants, do a few plant related searches. 

Now all of your ads on social media are of plants and you have a peaceful browsing experience with lots of greenery.","Marketing hack: 

Even if you're not buying plants, do a few plant related searches. 

Now all of your ads on social media are of plants and you have a peaceful browsing experience with lots of greenery.",,5,52,380,[],https://twitter.com/ChaniKrinsky/status/1300554826795954177
Chani,@ChaniKrinsky,2020-09-22T18:54:54.000Z,"I've always been uncomfortable reaching out to people. 

Why should I bother them? Why would they want to help me? What can I offer? 

In the past 6 months, I have gone out of my comfort zone 1,000x over and reached out to multiple people I admire. 

I have never regretted it.","I've always been uncomfortable reaching out to people. 

Why should I bother them? Why would they want to help me? What can I offer? 

In the past 6 months, I have gone out of my comfort zone 1,000x over and reached out to multiple people I admire. 

I have never regretted it.",,14,7,195,[],https://twitter.com/ChaniKrinsky/status/1308479903449350150
Chani,@ChaniKrinsky,2020-10-13T19:43:14.000Z,"Twitter is a bubble. 

Marketing teams are bubbles. 

Your company is a bubble. 

Silicon Valley is a bubble. 

New York City is a bubble. 

Wherever you are, it can feel like it's the whole world. 

Remember to look outside.","Twitter is a bubble. 

Marketing teams are bubbles. 

Your company is a bubble. 

Silicon Valley is a bubble. 

New York City is a bubble. 

Wherever you are, it can feel like it's the whole world. 

Remember to look outside.",,5,31,197,[],https://twitter.com/ChaniKrinsky/status/1316102214868443137
Chani,@ChaniKrinsky,2020-11-16T15:51:51.000Z,Most of your early career is just Googling acronyms,Most of your early career is just Googling acronyms,,19,93,590,[],https://twitter.com/ChaniKrinsky/status/1328365171430060032
Chani,@ChaniKrinsky,2020-12-15T20:38:17.000Z,Marketing today has too much data and not enough empathy,Marketing today has too much data and not enough empathy,,53,349,"1,815",[],https://twitter.com/ChaniKrinsky/status/1338946503826673664
Chani,@ChaniKrinsky,2020-12-09T19:51:15.000Z,"If you don't like a marketing tactic as a consumer, don't use it as a marketer.","If you don't like a marketing tactic as a consumer, don't use it as a marketer.",,35,181,"1,069",[],https://twitter.com/ChaniKrinsky/status/1336760338046464007
Michal Pecánek,@michalpecanek,2020-12-02T09:24:11.000Z,"Bounce Rate 

One of the most misunderstood Google Analytics metrics.

9 things you might not have known.","Bounce Rate 

One of the most misunderstood Google Analytics metrics.

9 things you might not have known.



//THREAD//",🦘,12,115,443,[],https://twitter.com/michalpecanek/status/1334065819354075140
Chani,@ChaniKrinsky,2020-12-20T21:53:27.000Z,What is up with American culture that at 24 I feel like I'm running out of time,What is up with American culture that at 24 I feel like I'm running out of time,,28,14,224,[],https://twitter.com/ChaniKrinsky/status/1340777359566376964
Chani,@ChaniKrinsky,2021-01-13T22:28:54.000Z,"Organic Facebook reach?

Don't know her.","Organic Facebook reach?

Don't know her.",,34,50,481,[],https://twitter.com/ChaniKrinsky/status/1349483589642158080
Chani,@ChaniKrinsky,2021-02-17T01:08:37.000Z,Who came up with the idea of saying 'ping me' and why did we all agree to it?,Who came up with the idea of saying 'ping me' and why did we all agree to it?,,52,35,361,[],https://twitter.com/ChaniKrinsky/status/1361844971666616320
Chani,@ChaniKrinsky,2021-01-28T15:55:02.000Z,"It's rare to see my entire feed in agreement. 

As millions lost their jobs while the rich profited and the stock market rose, platforms like Robinhood are showing that the world is rigged against the average person at every level. 

They won't even let you play their own game.","It's rare to see my entire feed in agreement. 

As millions lost their jobs while the rich profited and the stock market rose, platforms like Robinhood are showing that the world is rigged against the average person at every level. 

They won't even let you play their own game.",,2,16,138,[],https://twitter.com/ChaniKrinsky/status/1354820288446304262
Chani,@ChaniKrinsky,2021-02-09T14:43:55.000Z,"The first day jitters are intense today. 

Please send the good vibes.","The first day jitters are intense today. 

Please send the good vibes.",,39,1,149,[],https://twitter.com/ChaniKrinsky/status/1359151046166257665
Alban Brooke,@AlbanBrooke,2021-03-26T01:09:16.000Z,me editing a podcast,me editing a podcast,,13,51,164,['https://pbs.twimg.com/media/ExXhlcNWgAYkXM0?format=jpg&name=small'],https://twitter.com/AlbanBrooke/status/1375253486619754498
Natalie Furness,@Natalie_Furn,2021-03-20T17:31:48.000Z,I'm thinking about building a list of freelance ,"I'm thinking about building a list of freelance #MarketingTwitter consultants. With a database of your speciality subjects so that we can refer work to each other.

Let me know if you are keen. I'm thinking something open source so that we can all benefit.",🍊,93,29,205,[],https://twitter.com/Natalie_Furn/status/1373326419665768453
Natalie Furness,@Natalie_Furn,2021-04-23T12:18:13.000Z,"My new office! It has always been my dream to be able to work when I want, how I want by the beach. It has taken year's to get this far, but it is actually happening!","My new office! It has always been my dream to be able to work when I want, how I want by the beach. It has taken year's to get this far, but it is actually happening!",🍊,18,1,116,['https://pbs.twimg.com/media/EzqHYMZX0AIAEAq?format=jpg&name=900x900'],https://twitter.com/Natalie_Furn/status/1385568692772159488
Alban Brooke,@AlbanBrooke,2021-04-28T02:28:51.000Z,"For every like this tweet gets, I'll write a tip to help you start or improve your podcast ","For every like this tweet gets, I'll write a tip to help you start or improve your podcast ",⤵,15,71,404,[],https://twitter.com/AlbanBrooke/status/1387232310580453388
Alban Brooke,@AlbanBrooke,2021-06-21T20:03:50.000Z,"Facebook podcasts are launching tomorrow, here's everything you need to know ","Facebook podcasts are launching tomorrow, here's everything you need to know ",⤵,31,178,352,[],https://twitter.com/AlbanBrooke/status/1407066754476646405
Natalie Furness,@Natalie_Furn,2021-06-07T12:45:20.000Z,"I'm looking for a mentor 10 years younger than me. 

If you are under 22 super into the future of technology and social media, let's chat.

In exchange I am happy to share my knowledge and network. 

Who says your mentors have to be older!

Comment ","I'm looking for a mentor 10 years younger than me. 

If you are under 22 super into the future of technology and social media, let's chat.

In exchange I am happy to share my knowledge and network. 

Who says your mentors have to be older!

Comment  - then DM to chat.",🍊 🙌,77,87,682,[],https://twitter.com/Natalie_Furn/status/1401882970194055169
Aazar Shad,@Aazarshad,2021-06-16T14:00:01.000Z,"Writing blogs that actually get read & viral is really difficult. 

But not rocket science. 

Here's how to do it right","Writing blogs that actually get read & viral is really difficult. 

But not rocket science. 

Here's how to do it right",👇,13,63,364,[],https://twitter.com/Aazarshad/status/1405163257023713285
Joel Hansen,@joelshansen,2021-06-09T21:58:54.000Z,Here's 20 learning habits by ,"Here's 20 learning habits by 
@SahilBloom
 you can start implementing. 

His article was jam-packed with gems so I thought I'd unpack it: ",🛠 🧵,8,50,268,[],https://twitter.com/joelshansen/status/1402747057421512704
Joel Hansen,@joelshansen,2021-06-18T17:57:05.000Z,Nobody can guarantee viral tweets. But there is a formula to increase the odds. Today I'll share the framework ,"Nobody can guarantee viral tweets. But there is a formula to increase the odds. Today I'll share the framework 
@ShaanVP
 swears by. 

Why trust it?
- Free and fun to try
- It's generated 20m+ views
- Used by 
@TrungTPhan
 @chrishlad
 & 
@alexgarcia_atx
  

Here's the playbook ",🔎 👇,15,40,301,[],https://twitter.com/joelshansen/status/1405947689985101831
Chani,@ChaniKrinsky,2021-07-07T20:04:24.000Z,Where is the lie,"Where is the lie
0:48
79.6K views",,20,118,422,['https://pbs.twimg.com/ext_tw_video_thumb/1412864955867713536/pu/img/rv8AVCG-kOsdhBgK.jpg'],https://twitter.com/ChaniKrinsky/status/1412865101418438660
Aazar Shad,@Aazarshad,2021-07-12T14:00:02.000Z,"6 years ago I was fired from my first marketing job.

Today, I'm the Head of Marketing at one of Shopify's fastest-growing apps.

Here are 10 not-so-obvious career lessons on finding success in marketing.","6 years ago I was fired from my first marketing job.

Today, I'm the Head of Marketing at one of Shopify's fastest-growing apps.

Here are 10 not-so-obvious career lessons on finding success in marketing.",,59,"1,058","4,259",[],https://twitter.com/Aazarshad/status/1414585344058564611
