UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Khushboo Verma,@khushbooverma_,2020-06-05T13:05:42.000Z,Hey ,"Hey #TechTwitter, 
What's the best way to learn a new language/ framework/ technology? 

- To watch tutorials
- To read documentation
- To jump directly into coding
- To build a small side project first

What works the best for you?",,142,33,356,[],https://twitter.com/khushbooverma_/status/1268891748148879367
Veni Kunche (she/her),@venikunche,2020-06-08T21:03:00.000Z,Hey ,"Hey #TechTwitter, I see that some of you are waking up to issues around diversity in tech.

I invite you to join 
@DiversifyTechCo
's Business & Ally newsletter. It's for tech leaders, recruiters & allies who want to make tech diverse, inclusive & equitable
https://diversifytech.co/business-ally-newsletter/…",,5,89,153,[],https://twitter.com/venikunche/status/1270099030777843712
Name cannot be blank,@hackSultan,2020-06-09T10:21:02.000Z,One of our devs in ,"One of our devs in 
@dev_careers
 cohort 1 just accepted a new role to join the PHP backend web at 
@CUHEBRON
 

And YESS the position comes with an official accommodation 
@unicodeveloper
 should be proud of us 

Thank you  #TechTwitter 
#Laptops4Developers",😭,12,65,334,[],https://twitter.com/hackSultan/status/1270299862848933888
Khushboo Verma,@khushbooverma_,2020-06-12T15:43:53.000Z,"For how many hours can you code without taking a break? 

I still need to test my limit. ","For how many hours can you code without taking a break? 

I still need to test my limit. 

#TechTwitter",,180,15,422,[],https://twitter.com/khushbooverma_/status/1271468274291597312
Ada,@Kolokodess,2020-07-26T19:46:21.000Z,#TechTwitter,"#TechTwitter, Here’s your sub for the day:
0:08
12K views",🤭,49,254,808,[],https://twitter.com/Kolokodess/status/1287474355065294848
Name cannot be blank,@hackSultan,2020-07-22T20:19:52.000Z,Hello ,"Hello #techtwitter , I have about 70 great junior(intern level)  devs in 

Frontend with React.  
Backend with NodeJs/ PHP
Python. + ML 

If your company is accepting interns, who would add value and not give you problems, please reach out to me. 

They can work remotely also.",🙏,24,166,297,['https://pbs.twimg.com/media/EdjoaWOXgAI1_Uq?format=jpg&name=small'],https://twitter.com/hackSultan/status/1286033241246502912
Emma,@britnorcodes,2020-07-04T15:28:23.000Z,Slow progress but I'm getting there ,Slow progress but I'm getting there  #100DaysOfCode #CSS #techtwitter (Obviously it's in pink/purple #onbrand),🥳,24,30,345,['https://pbs.twimg.com/media/EcF42oXWoAEhx_2?format=jpg&name=small'],https://twitter.com/britnorcodes/status/1279436902609948672
Ronny Myers,@RonnyFunnyYeah,2020-07-20T20:18:03.000Z,I’m a software engineer looking for a job. I can code in multiple languages and if given the opportunity I can learn your primary language in a short amount of time. Who’s hiring ?? ,I’m a software engineer looking for a job. I can code in multiple languages and if given the opportunity I can learn your primary language in a short amount of time. Who’s hiring ?? #BlackTechTwitter #techtwitter #DeveloperJobs,,71,560,822,[],https://twitter.com/RonnyFunnyYeah/status/1285308006037622784
The Tech Bae | IG @lovee_charms,The Tech Bae | IG @lovee_charms,2020-07-01T20:19:11.000Z,"Finally published my first blog post on my personal unconventional journey in to the tech industry ! 

There are hardly any black women in tech & I want more to join me ! 
  ","Finally published my first blog post on my personal unconventional journey in to the tech industry ! 

There are hardly any black women in tech & I want more to join me ! 
  
#BlackTechTwitter #TechTwitter 
charmainemabika.medium.com
My Journey Into Tech
Hey everyone! I hope my unconventional route into tech will inspire anyone who is also looking into joining the industry. So here goes!",,10,231,489,['https://pbs.twimg.com/card_img/1527382554231316482/G6OGbDys?format=jpg&name=small'],https://twitter.com/lovee_charms/status/1278422923850768392
Channah,@ChannahLeila,2020-07-23T16:07:43.000Z,"I'm now redundant and crushed. I love working in tech, so if you’re looking to hire a quick learning, client loving and ","I'm now redundant and crushed. I love working in tech, so if you’re looking to hire a quick learning, client loving and #tech fascinated Project Manager in #Leeds or remote please reach out… and if you aren’t hiring but could RT, I’d really appreciate it. #TechTwitter #jobseeker",,23,301,169,[],https://twitter.com/ChannahLeila/status/1286332172757016576
Chandrika Deb,@chandrikadeb7,2020-07-04T15:32:35.000Z,Have a great news for ,"Have a great news for #CSS beginners!

I'll start a ""CSS Placards Series"" to help you learn basic CSS concepts easily

Are you interested? 

Comment below! RT for reach

#100DaysOfCode #DEVCommunity #techtwitter #CodeNewbie #cssart",❤ ✅ 💡 🌟 🙏,46,87,239,[],https://twitter.com/chandrikadeb7/status/1279437961486950400
Chandrika Deb,@chandrikadeb7,2020-07-14T16:14:45.000Z,All the pure ,"All the pure #CSS artists out there I'm planning something exciting for you.

Would you all be interested to showcase your creativity and win some prizes??

Just by creating a Codepen based on theme given?

Comment below if it's a YES

RT for reach #techtwitter 
#100DaysOfCode",🌟,39,53,176,[],https://twitter.com/chandrikadeb7/status/1283072452768169985
Veni Kunche (she/her),@venikunche,2020-06-30T12:00:00.000Z,Hey ,"Hey #TechTwitter, Here are 70 underestimated folks you should hire!

Underrepresented people in tech are often underestimated and overlooked. Here is an opportunity to go beyond your own typical network and hire these amazing folks.
diversifytech.co
70 Underestimated Folks in Tech You Should Hire",,5,143,279,['https://pbs.twimg.com/card_img/1525485580858994689/MrxCIYwL?format=jpg&name=small'],https://twitter.com/venikunche/status/1277934912478330881
Veni Kunche (she/her),@venikunche,2020-07-08T18:48:49.000Z,Hey ,"Hey #TechTwitter, I know a lot of underrepresented folks in tech who are looking for their first role in tech. 

If you know of any entry-level positions, please share them here or tag 
@DiversifyTechCo
. Thank you!",,16,164,275,[],https://twitter.com/venikunche/status/1280936895191580672
Mercy Ikpe,@mercy_ikpe,2020-08-22T06:34:36.000Z,"There's been cases of Tech Bros sexually harassing ladies/mentees all in the name of mentorship. 

The ones that tell you to fondle their dick, the ones that emotionally blackmail you to bed. 
The ones that just want to jerk off on you.

You'll be exposed sooner.","There's been cases of Tech Bros sexually harassing ladies/mentees all in the name of mentorship. 

The ones that tell you to fondle their dick, the ones that emotionally blackmail you to bed. 
The ones that just want to jerk off on you.

You'll be exposed sooner.

#TechTwitter",,143,200,286,[],https://twitter.com/mercy_ikpe/status/1297059578962685953
I D R I S,@olanetsoft,2020-08-11T10:50:54.000Z,I am so excited to share with ,"I am so excited to share with #techtwitter that I have finally completed the coding streak

Day 100 / #100DaysOfCode after tons of hour planning, learning, coding daily, building, debugging, contributing, etc. 

To mention a few 

1 / n
#javascript #Dotnet #coding",💙 🥳 👇,17,61,243,[],https://twitter.com/olanetsoft/status/1293137810673864706
maggie,@maggiecodes_,2020-08-02T05:53:11.000Z,Looking for some personal website design inspo! Link your favs below (as well as any tips for making a personal website).,"Looking for some personal website design inspo! Link your favs below (as well as any tips for making a personal website).

#TechTwitter #CodeNewbie #WomenInTech #WomenWhoCode #DevCommunity",,26,16,179,[],https://twitter.com/maggiecodes_/status/1289801399686004736
Syed Fazle Rahman,@fazlerocks,2020-08-09T07:28:54.000Z,"I have been using Discord actively from the last couple of months. 

Here's a list of Developer Portals on Discord every developer should join. ","I have been using Discord actively from the last couple of months. 

Here's a list of Developer Portals on Discord every developer should join. 

#TechTwitter #Programming #Devlife #HashnodeCommunity 
@hashnode
 

https://fazle.dev/10-discord-developer-portals-you-should-join-ckdmqthab05t8zzs1b6wmcz7n…",,8,49,198,[],https://twitter.com/fazlerocks/status/1292362201529847809
Austin Akers,@tweetmonster999,2020-08-14T13:45:38.000Z,New beginnings!,"New beginnings! As of next Friday, I will be leaving 
@Allstate
 and the following Monday I'll be joining 
@Microsoft
 as a Software Engineer under the 
@docsmsft
 department. I'm excited for this opportunity!!  #Microsoft #SoftwareEngineer #BlackTechTwitter #TechTwitter",🎉 🎉 🎉 🎊 🎈 🥳,52,30,374,[],https://twitter.com/tweetmonster999/status/1294268949761335299
omo,@sebiomo_,2020-08-30T10:59:58.000Z,Hi ,"Hi #techtwitter, #designtwitter. I am a pharmacist currently looking to transition into a Product design role, especially in a Fintech or Health related company. 

I’d appreciate mentions in any opportunities you see or referrals. 

Thank you. 

Please help retweet.",❤,12,249,251,[],https://twitter.com/sebiomo_/status/1300025464279494658
julia ferraioli,@juliaferraioli,2020-08-30T18:47:42.000Z,So now I'm curious! ,"So now I'm curious! #TechTwitter, what was your first email client? Not a poll -- reply with your answer!

RT for reach please?",,"1,660",542,317,[],https://twitter.com/juliaferraioli/status/1300143173977559041
Mak,@makpoling,2020-09-11T18:05:12.000Z, Front-End Dev for Hire! ," Front-End Dev for Hire! 

Hi, everyone! 

I'm still looking for a #FrontEnd #webdev position, ideally #remote.

My skills include:
#HTML
#CSS
#JavaScript
#React

Portfolio: http://makpoling.github.io

RTs are so appreciated! 

#100DaysofCode #CodeNewbie #techtwitter #code",🌟 🌟 👋 💜 🙏,10,286,289,[],https://twitter.com/makpoling/status/1304481130461245440
Ebony & Erica 6-figure Career Coaches & Recruiters,@thathomastwins,2020-09-03T18:15:30.000Z,"Top 10 Tech Skills in demand in 2020:

1. Machine Learning
2. Mobile Development
3. SEO/SEM Marketing
4. Data Visualization
5. Data Engineeringj
6. UI/UX Design
7. Cyber-security
8. Cloud Computing/AWS
9. Blockchain
10. IoT","Top 10 Tech Skills in demand in 2020:

1. Machine Learning
2. Mobile Development
3. SEO/SEM Marketing
4. Data Visualization
5. Data Engineeringj
6. UI/UX Design
7. Cyber-security
8. Cloud Computing/AWS
9. Blockchain
10. IoT

#techtwitter #BlackTechTwitter #BlackTechPipeline",,4,132,312,[],https://twitter.com/thathomastwins/status/1301584620752957442
G.D/gidigrapher.eth,@gidigrapher,2020-08-30T14:34:33.000Z,"Hi guys!
Here’s my first shot at UI design, using ","Hi guys!
Here’s my first shot at UI design, using 
@AdobeXD
. It’s a dummy website for a Nigerian travels & tours agency. Looking forward to creating better sturvs. 
Also open to critics and reviews. Cheers. 
#designtwitter #techtwitter
#deardesigner #DDMentorship",😊,22,45,179,"['https://pbs.twimg.com/media/EgrPXcVXcAElMBk?format=jpg&name=small', 'https://pbs.twimg.com/media/EgrPXcYXcAUyVej?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EgrPXcZXgAExWiM?format=jpg&name=small']",https://twitter.com/gidigrapher/status/1300079466983682048
"ZΛRΛ ᵍᵐ 🅝 (𓃵,,) (isaaczara.near)",@isaaczara_,2020-09-22T09:11:54.000Z,Hey ,"Hey #techtwitter I won the design contest for Restoration Stewards Program!
I can’t believe this.
My sleepless night all through early 2020 wasn’t in vain 
Congratulations to me!
Quote Tweet
Youth In Landscapes Initiative (YIL)
@YIL_Initiative
 · Sep 22, 2020
CONGRATULATIONS to @isaaczara_  for winning our logo competition for the Restoration Stewards Program! 

A big thank you to all the amazing, young designers that participated! #generationrestoration",🛸 🧱 🎉 🎉 🎉 🖌,36,20,223,"['https://pbs.twimg.com/profile_images/1407254267489144833/xX2UckKu_mini.jpg', 'https://pbs.twimg.com/media/EigQasqWkAIR--R?format=jpg&name=small']",https://twitter.com/isaaczara_/status/1308333187941183494
Name cannot be blank,@hackSultan,2020-09-22T09:30:32.000Z,Out of the 22 devs we trained in ,"Out of the 22 devs we trained in #Laptops4Developers cohort 1 that officially ended on the 14th of November 2019. 

currently, 17 are now working working fully with a company.  .  17 out of 22.   

#TechTwitter did this.
Quote Tweet
#Laptops4Developers 501(c)
@dev_careers
 · Sep 21, 2020
17/22 

Yes that’s the number.   ",😭 😭,17,50,269,['https://pbs.twimg.com/profile_images/1129480777417338880/4qNEPHLf_mini.jpg'],https://twitter.com/hackSultan/status/1308337879282790405
Eniola Osabiya,@eni4sure,2020-09-11T15:05:22.000Z,I passed the test ,"I passed the test 

I'll be participating in the dev camp by @wootlab and 
@ukngtechhub
 

I hope to make it to the finals on this one  

#techtwitter #kidswhocode #Under16 #100DaysOfCode",🛠 🎉 🚀 🤗,19,38,191,[],https://twitter.com/eni4sure/status/1304435873870684165
"ZΛRΛ ᵍᵐ 🅝 (𓃵,,) (isaaczara.near)",@isaaczara_,2020-10-09T13:46:27.000Z,"We are creatives not criminals!
I stand with ","We are creatives not criminals!
I stand with #techtwitter to #EndSARS",🛸 🧱,2,267,277,['https://pbs.twimg.com/media/Ej5D9NyXcAAwrBB?format=jpg&name=small'],https://twitter.com/isaaczara_/status/1314562875478900739
Ramallah,@TheMallahverse,2020-10-20T00:49:37.000Z,I can’t believe I really just built my own computer and it’s so nice,"I can’t believe I really just built my own computer and it’s so nice!!! Here is the link to the video of me doing my build out! https://m.youtube.com/watch?v=-snrMXBVMJ0…
#techtwitter #BlackTechTwitter #custompc",💕 💕 🎉 🎉 🎉,10,75,197,['https://pbs.twimg.com/media/Eku7prgWAAEpRd1?format=jpg&name=small'],https://twitter.com/TheMallahverse/status/1318353646564921346
Ada,@Kolokodess,2020-10-13T19:47:55.000Z,Open letter to ,"Open letter to #TechTwitter & #BlackTechTwitter:

Few months ago you lent your voices to the mistreatment & killings of Black people through #BLM

The Nigerian Tech community showed her support in all possible ways to help amplify, RTin like our lives depended on it

#SARSMUSTEND",,8,989,732,[],https://twitter.com/Kolokodess/status/1316103390708011008
Edidiong @ #KubeCon,Edidiong @ #KubeCon,2020-10-15T16:50:44.000Z,I used the recently launched custom CSS feature on ,"I used the recently launched custom CSS feature on 
@hashnode
 to revamp my personal blog, and it is all shades of beautiful. 

I explained the seamless process in this article. 
 https://l.hshno.de/snby45fj2

#HashnodeCommunity #TechTwitter #CSS",😍 🔗,13,66,331,['https://pbs.twimg.com/ext_tw_video_thumb/1316783451929010178/pu/img/8Q9VKSKrD6h5UhA7.jpg'],https://twitter.com/Didicodes/status/1316783580631179264
Syed Fazle Rahman,@fazlerocks,2020-10-18T08:39:42.000Z,Every developer should write,"Every developer should write

 You have knowledge & experience that can help others
 Get noticed by recruiters/employers
 Build your network on the internet
 Retain the knowledge long term
 Get better at communication.

#TechTwitter #WritingCommunity #devcommunity",✍ 💡 🏢 🌐 🧠 💬,8,54,194,[],https://twitter.com/fazlerocks/status/1317747168724226048
Samson Goddy,@Samson_Goddy,2020-10-14T20:34:57.000Z,Firstly I am honored to be part of the Star program; this is an excellent opportunity to help ,"Firstly I am honored to be part of the Star program; this is an excellent opportunity to help 
@github
 communicate better with the OSS community.

Secondly, the Nigerian #TechTwitter is deeply affected by #PoliceBrutalityin Nigeria and #SarsMustGo. 

We need your voices.
Quote Tweet
GitHub
@github
 · Oct 14, 2020
Meet @Samson_Goddy - the newest member joining the GitHub Stars Program ! Samson is a software developer who's founded the Open Source Community in Africa, working on educating everyone about open source. Check out Samson's Star profile to learn more https://stars.github.com/profiles/samswag/…",⭐,3,179,291,"['https://pbs.twimg.com/profile_images/1414990564408262661/r6YemvF9_mini.jpg', 'https://pbs.twimg.com/media/EkTuB6LWkAcQVQa?format=jpg&name=small']",https://twitter.com/Samson_Goddy/status/1316477616933818370
The king Designer(ZIKA),@oninanime,2020-11-17T12:19:57.000Z,Goodnews ,"Goodnews  #techtwitter 
I just landed my first design job...

Salary is amazing 
I got to determine my working conditions(i choose to work remotely) and how frequently I'll show up at the office(twice a month for 3 hours)

Tell me am dreaming ",👑 💃 💃 💃 🥳 🥳 🥳 🔥 🔥 😂 😂 💃 💃 💃 💃 🥳 🥳,116,116,"1,400",[],https://twitter.com/oninanime/status/1328674234537750528
Name cannot be blank,@hackSultan,2020-11-23T18:12:43.000Z,"361k followers on twitter, thanks a lot ","361k followers on twitter, thanks a lot #TechTwitter.  ",,20,8,289,[],https://twitter.com/hackSultan/status/1330937336755007491
toba.txt,@tobaibra,2020-12-26T01:59:51.000Z,"Hey tech Twitter, if anyone is hiring for junior/regular iOS dev roles. Even if it’s a remote job please message me. My portfolio is in my bio. 

Skills:

Swift
Python
UIKit 
Firebase
Programmatic UI
Figma
App in the AppStore ","Hey tech Twitter, if anyone is hiring for junior/regular iOS dev roles. Even if it’s a remote job please message me. My portfolio is in my bio. 

Skills:

Swift
Python
UIKit 
Firebase
Programmatic UI
Figma
App in the AppStore 

#iosdev #techtwitter",,12,191,308,[],https://twitter.com/tobaibra/status/1342651305794428932
Shikhar Pandita,@shikhar_pandita,2020-12-05T22:17:27.000Z,Let's start a thread of all commerce/ productivity related startups that you think are awesome,"Let's start a thread of all commerce/ productivity related startups that you think are awesome

Reply with:
-Startup Name
-URL
-1 line description

May/May not be your own startup

#StartUp15 #startups #product #technews #techforgood #Technologies #techtwitter #Entrepreneurship",👇,5,42,692,[],https://twitter.com/shikhar_pandita/status/1335347582428532736
Mina.D,@Codeanddream,2020-12-11T07:00:12.000Z,Use an emoji to describe your mood while ,"Use an emoji to describe your mood while #coding:

Mine is.....



#codinglife #techtwitter #devcommunity #codenewbies #womenwhocode",🤪,279,44,295,[],https://twitter.com/Codeanddream/status/1337291074444910592
Name cannot be blank,@hackSultan,2020-11-30T19:00:41.000Z,In ,"In #Laptops4Developers cohort 1, the first candidate to get a job was a male, a week before the end of the program.  

This second cohort, we have a new record, 2 female devs got a job a week after graduation.
Same time, different companies . 

Thanks #TechTwitter ",,9,17,263,[],https://twitter.com/hackSultan/status/1333486123834863627
kage,@26th_edmund,2021-01-18T12:27:34.000Z,Hey ,"Hey #techtwitter, I’m looking for my next role as a Mid-Senior level Frontend Developer with #VueJs

RT
Here’s why I’d be a great addition to your team:

- Excellent with Vue.js, Nuxt.js, Gridsome. 

- Excellent with with CSS Frameworks & Tools ( SCSS, TailwindCSS, Bootstrap)",,13,521,585,[],https://twitter.com/26th_edmund/status/1351144199463305218
vimOppa | chukwuanu.eth,@vimoppa,2020-12-31T13:58:12.000Z,Hi y’all ,"Hi y’all  

Tech folks, I’m looking a for a Junior/Middle Software Developer Position

Tech Stack:
Go 
Node 
PostgreSQL, Redis 
Python, Bash (scripting)
GCP, Terraform, Docker 

RTs for reach, appreciated! 

#job #softwaredeveloper #backend
#techtwitter #DEVCommunity",🎴 ✨ 🤫 👽 🖤,6,260,246,[],https://twitter.com/vimoppa/status/1344644024817381387
,@dev_nikema,2021-01-16T22:36:46.000Z,#TechTwitter,#TechTwitter stop recommending open racists and misogynistic people for their “thought leadership.” There is no putting that aside to focus on their supposed expertise. Those views cancel each other out.,🆗,2,31,147,[],https://twitter.com/dev_nikema/status/1350572730463076352
Vic,@VictoriaMMorton,2021-01-15T20:57:18.000Z,"My brain:
Don't say it
Don't say it
Don't say it

Me:","My brain:
Don't say it
Don't say it
Don't say it

Me:
Some Personal News!

I'll be joining the 
@pexels
 team as Manager of Strategic Partnerships, focusing on our API.

Thank you #marketingtwitter for amplifying my , and #techtwitter I'm excited to get to know you!
Quote Tweet
Vic
@VictoriaMMorton
 · Dec 16, 2020
1/ Hey #MarketingTwitter!

Last week I applied to be a Community Manager at @Pexels (@canva).

It got my mind racing about how much potential this brings for arts communities, regardless of who fills the role. 

So, a  about a Wikipedia-sized opportunity (tl;dr at the end):
Show this thread",📸 ✨ ✨ 🧵 📸 🧵,33,4,161,['https://pbs.twimg.com/profile_images/1290732899252273152/bYVOBz5E_mini.jpg'],https://twitter.com/VictoriaMMorton/status/1350185313851867141
EA,@alex_eniola4,2021-02-02T18:48:51.000Z,I am so angry(lol) and tired atml,"I am so angry(lol) and tired atml.. I have been trying to replicate this animation from 
@lakesofmotion
  and its been hell. Spent alot of time
You know when i saw ovalay opportunity, i felt this is one opportunity to step up #GetMetoOvalay #designtwitter #techtwitter 
Thread",😂 😢,16,325,320,"['https://pbs.twimg.com/media/EtPhlgcXUAEdTuW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtPhmFZXAAQ-x9R?format=jpg&name=small']",https://twitter.com/alex_eniola4/status/1356675970716041220
jill wohlner,@JillWohlner,2021-02-02T02:55:15.000Z,Hey ,"Hey #techtwitter, who is hiring engineers without live coding interviews involved in the process?",,61,119,464,[],https://twitter.com/JillWohlner/status/1356435987241570304
USGS Data Science,@USGS_DataSci,2021-10-13T18:29:15.000Z,We are ,"We are #hiring soon! We have a series of #job openings for: #DataViz Specialists, #DevOps Engineers, #RStats/#Python Developer, and #Usability Specialist 
@USGS_Water
 & 
@USGS_DataSci
. Location negotiable

Follow us for updates 
#DataScience #SciComm #RemoteWork #uxui #TechTwitter
ALT",,5,199,215,['https://pbs.twimg.com/media/FBmWskVXoAQesrj?format=jpg&name=small'],https://twitter.com/USGS_DataSci/status/1448355167301251077
TechFlex by Jelanah,@TheTechFlex_,2022-01-06T00:17:20.000Z,THREAD: languages to learn in 2022 and what they are used for ,"THREAD: languages to learn in 2022 and what they are used for 
#BlackTechTwitter #TechTwitter",🎀 ✨ 💗,8,243,878,['https://pbs.twimg.com/media/FIYMkIKWYAEMfHW?format=jpg&name=small'],https://twitter.com/TheTechFlex_/status/1478883345429942274
ℙ𝕒𝕡𝕡𝕚 𝕠𝕗 𝕀𝕝𝕠𝕣𝕚𝕟,@TheOnlyPappi,2022-01-03T17:30:39.000Z,"Hey, ","Hey, #TechTwitter.

I redesigned UBA Mobile Banking App.",💭 ⚡,24,100,255,"['https://pbs.twimg.com/media/FIMcQooXMAEcbwm?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIMcQolWYAE3JNt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIMcQojXsAYeX7N?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIMcQosWQAUUfzY?format=jpg&name=360x360']",https://twitter.com/TheOnlyPappi/status/1478056222658113538
Kristin,@NerdyByNature71,2022-01-06T16:09:37.000Z,OMG I finally made the switch.,OMG I finally made the switch.I’ve always loved tech/tinkered on the side for fun but never a official tech job as my 9-5. About 3 months ago I got serious & got a few certs. I just accepted my first tech job  2022 is starting off great! #BlackTechTwitter #TechTwitter,😳 🎉 🎊 💯,110,103,"2,517",[],https://twitter.com/NerdyByNature71/status/1479122994144423943
