UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Alex Llull,@AlexLlullTW,2020-08-19T19:04:23.000Z,,"Content is king, but format is queen.

Your content can be great, but if its not easy to consume, it won't be seen.

How can you improve your tweeting style?

By stealing from the best. 

A thread",👇,61,617,"2,775",['https://pbs.twimg.com/media/EfzjpoqXkAAGHd9?format=png&name=small'],https://twitter.com/AlexLlullTW/status/1296161106269016065
Alex Llull,@AlexLlullTW,2020-08-30T16:56:00.000Z,,"1. Develop skill
2. Sell as service
3. Compile into product
4. Build once, sell twice

The roadmap is laid out here
Quote Tweet
jckbtchr
@jackbutcher
 · Aug 30, 2020
Replying to @omarakhaddaj
Could write a book on it so I'm not sure a tweet will do it justice, but how I did it:

Build a marketable skill you can sell as a service until you have time/money to experiment with product.

Then, consistently publish media that upgrades your network and moves product.",👇,4,17,152,['https://pbs.twimg.com/profile_images/1517958694394343424/qFmHfwC4_mini.jpg'],https://twitter.com/AlexLlullTW/status/1300115062078795776
Alex Llull,@AlexLlullTW,2020-10-13T13:03:25.000Z,,"Steve Jobs was a marketing genius.

In 1997 he gave what has been labeled as ""one of the best marketing speeches ever.""

He gives some key lessons on what product marketing should be about and how ""Think Different"" was born.

A quick breakdown of his speech",👇 🧵,9,253,693,['https://pbs.twimg.com/media/EkNgeNuX0AAl6RP?format=jpg&name=small'],https://twitter.com/AlexLlullTW/status/1316001597999251456
Alex Llull,@AlexLlullTW,2020-12-17T10:31:27.000Z,,"This is how I went from 0 to 2500 followers in 7 months.

A thread with the key moments and tweets",👇,22,26,271,[],https://twitter.com/AlexLlullTW/status/1339518564089380864
𝗙𝗲𝗹𝗶𝘅 𝗦𝗰𝗵𝗼𝗹𝘇,@scholz_felix,2021-01-10T18:01:30.000Z,,"If you can read this, then I made the Twitter API work.",🐦,22,16,688,[],https://twitter.com/scholz_felix/status/1348329132116103171
Alex Llull,@AlexLlullTW,2020-12-30T10:27:34.000Z,,"A big part of my tweets are inspired by other people's content.

I bookmark everything that looks interesting and go there when in need of inspiration.

This is a thread-recap of the best-saved tweets from 2020 (for me at least) and what you can steal from each one. ",🧵 👇,8,25,168,['https://pbs.twimg.com/media/EqeoypeWMAAXz7Z?format=png&name=small'],https://twitter.com/AlexLlullTW/status/1344228630138908672
Alex Llull,@AlexLlullTW,2021-01-13T16:03:00.000Z,,"Priorities

20$ book - Expensive
20$ Pizza - Cheap

30 min run - I don't have time
30 min phone scrolling - I got nothing else to do

200$ course that teaches a new skill - Expensive
200$ sneakers - Worth it",,16,36,236,[],https://twitter.com/AlexLlullTW/status/1349386473641009156
𝗙𝗲𝗹𝗶𝘅 𝗦𝗰𝗵𝗼𝗹𝘇,@scholz_felix,2021-03-18T17:14:04.000Z,,"Done is better than perfect.
Done is better than perfect.
Done is better than perfect.
Done is better than perfect.
Done is better than perfect.

Now ship!",🐦,24,98,536,[],https://twitter.com/scholz_felix/status/1372597181845225481
Alex Llull,@AlexLlullTW,2021-04-17T12:06:51.000Z,,"。　☆ 。　     ☆。　      ☆       。
☆。　＼　　  ｜　　    ／。　☆
           you don’t need to be 
       an expert to tweet about
                      that topic
  ☆。　／　    ｜　　＼。　☆ 
。　  ☆。 　☆  。　　☆。      。",,11,9,157,[],https://twitter.com/AlexLlullTW/status/1383391505516171264
Alex Llull,@AlexLlullTW,2021-04-05T15:07:00.000Z,,"How to steal ideas:

➊ Read a lot       ➎ Write
➋ Highlight         ➏ Add personal flavor
➌ Take notes      ➐ Edit to make it simpler
➍ Use notes as   ➑ Publish & Repeat
starting material",,8,55,296,[],https://twitter.com/AlexLlullTW/status/1379088185729421312
